,Draft_Yr,Pk,Team,Player,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP
243,1977,71.0,PHO,Greg Griffin,Idaho State University,1.0,36.0,422.0,145.0,103.0,24.0,0.361,0.0,0.639,11.7,4.0,2.9,0.7,-0.1,-0.011,-5.9,-0.4
244,1977,72.0,NOJ,Dennis Boyd,University of Detroit Mercy,1.0,5.0,40.0,6.0,2.0,7.0,0.25,0.0,0.0,8.0,1.2,0.4,1.4,-0.2,-0.23,-15.7,-0.1
245,1977,73.0,IND,George Pendleton,Georgia State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1977,74.0,SEA,Jim Cooper,Alabama State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,1977,75.0,KCK,Larry Williams,Texas Southern University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,1977,76.0,NYK,Steve Hayes,Idaho State University,5.0,212.0,2296.0,545.0,526.0,85.0,0.482,0.0,0.5,10.8,2.6,2.5,0.4,2.9,0.061,-2.6,-0.4
249,1977,77.0,CLE,Melvin Jones,West Texas A&M University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1977,78.0,BOS,Jeff Cummings,Tulane University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,1977,79.0,CHI,Mike McConalthy,Louisiana Tech University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,1977,80.0,DET,Bruce King,University of Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
