,Draft_Yr,Pk,Team,Player,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP
52,1976,53.0,ATL,Tom Barker,University of Hawaii,2.0,98.0,1830.0,639.0,520.0,75.0,0.422,0.0,0.692,18.7,6.5,5.3,0.8,1.3,0.034,-3.8,-0.9
53,1976,54.0,KCK,Clarence Ramsey,University of Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1976,55.0,DET,Scott Thompson,University of Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1976,56.0,POR,David Everett,Grand Canyon University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1976,57.0,NYK,Rick Bullock,Texas Tech University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1976,58.0,NOJ,John Service,"University of California, Santa Barbara",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1976,59.0,MIL,Dan Frost,University of Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1976,60.0,LAL,Wayman Britt,University of Michigan,1.0,7.0,16.0,9.0,4.0,2.0,0.3,0.0,0.75,2.3,1.3,0.6,0.3,0.0,0.046,-4.7,0.0
60,1976,61.0,HOU,Hercle Ivy,Iowa State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1976,62.0,PHO,Paul Miller,Oregon State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1976,63.0,SEA,Willie Parr,LeMoyne-Owen College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1976,64.0,PHI,Freeman Blade,"Montana State University, Billings",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1976,65.0,WSB,Marion Hillard,University of Memphis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1976,66.0,CLE,John Engles,University of Pennsylvania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1976,67.0,BOS,Lewis Linder,Kentucky State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1976,68.0,GSW,Jeff Fosnes,Vanderbilt University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1976,69.0,CHI,Nate Williams,University of Illinois at Urbana-Champaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1976,70.0,ATL,Ron Davis,Washington State University,3.0,78.0,951.0,417.0,139.0,53.0,0.42,0.25,0.571,12.2,5.3,1.8,0.7,0.1,0.007,-5.0,-0.7
70,1976,71.0,KCK,Willie Hodge,Duke University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1976,72.0,DET,Jim Hearns,Marymount College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1976,73.0,POR,Gary Reddings,Auburn University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1976,74.0,NOJ,Paul Griffin,Western Michigan University,7.0,480.0,10053.0,2443.0,2650.0,1116.0,0.505,0.0,0.692,20.9,5.1,5.5,2.3,19.6,0.094,1.6,9.1
74,1976,75.0,MIL,Tom Lockhart,Manhattan College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1976,76.0,NYK,Beaver Smith,St. John's University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1976,77.0,MIL,James Rappis,University of Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1976,78.0,HOU,Dave Marrs,University of Houston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1976,79.0,PHO,Ralph Walker,Saint Mary's College of California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1976,80.0,SEA,Robert Gray,Wichita State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1976,81.0,PHI,Jeff Browne,Missouri Western State College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1976,82.0,ATL,Connie White,University of California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1976,83.0,WSB,L.C. Mason,Alabama State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1976,84.0,CLE,Edmund Lawrence,McNeese State University,1.0,3.0,19.0,12.0,4.0,1.0,0.625,0.0,0.5,6.3,4.0,1.3,0.3,0.1,0.201,1.0,0.0
84,1976,85.0,BOS,Louis McKinney,Saint Louis University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1976,86.0,GSW,Carl Bird,University of California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1976,87.0,CHI,Tom Paulin,Winston-Salem State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1976,88.0,ATL,Pete Padgett,"University of Nevada, Reno",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1976,89.0,KCK,Andre McCarter,"University of California, Los Angeles",3.0,103.0,1182.0,392.0,95.0,172.0,0.431,0.25,0.725,11.5,3.8,0.9,1.7,1.1,0.046,-4.5,-0.7
89,1976,90.0,DET,Russell Davis,Virginia Polytechnic Institute and State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1976,91.0,GSW,Duane Barnett,Stanford University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1976,92.0,MIL,Phil Spence,North Carolina State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1976,93.0,NYK,Joe Jones,Grambling State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1976,94.0,NOJ,Barnard Tomlin,Hofstra University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1976,95.0,LAL,Ed Schweitzer,Stanford University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1976,96.0,HOU,Robert Paige,Houston Baptist University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1976,97.0,PHO,Carl Brown,Eastern Kentucky University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1976,98.0,SEA,Darrell Peterson,Wake Forest University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1976,99.0,PHI,Mike Dunleavy,University of South Carolina,11.0,438.0,8428.0,3496.0,689.0,1723.0,0.467,0.339,0.81,19.2,8.0,1.6,3.9,16.1,0.092,-1.9,0.2
99,1976,100.0,BUF,Danny Odums,Fairfield University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1976,101.0,WSB,Pat Tallent,George Washington University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1976,102.0,CLE,Harry Davis,Morris Brown College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1976,103.0,BOS,Art Collins,St. Thomas University,1.0,29.0,395.0,94.0,41.0,25.0,0.354,0.0,0.667,13.6,3.2,1.4,0.9,-0.4,-0.054,-6.3,-0.4
103,1976,104.0,GSW,Gene Cunningham,Norfolk State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1976,105.0,CHI,Barry McLeod,Centenary College of Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1976,106.0,ATL,Carl Gerlach,Kansas State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1976,107.0,KCK,Craig Prosser,Canisius College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1976,108.0,DET,Curt Peterson,University of Puget Sound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1976,109.0,POR,Al DeWitt,Weber State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,1976,110.0,NYK,Boyd Batts,"University of Nevada, Las Vegas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1976,111.0,NOJ,Andy Walker,Niagara University,1.0,40.0,438.0,180.0,75.0,32.0,0.462,0.0,0.766,11.0,4.5,1.9,0.8,0.7,0.081,-2.4,0.0
111,1976,112.0,MIL,Ron Barrow,Southern University and A&M College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
