,Player,All_NBA,All-Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP,Executive,Tenure
172,Phil Hopson,0.0,0.0,1983.0,199.0,POR,University of Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stu Inman,1690 days 00:00:00.000000000
173,Russ Christianson,0.0,0.0,1983.0,220.0,POR,East Oregon University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stu Inman,1690 days 00:00:00.000000000
174,Tim Hardaway,5.0,5.0,1989.0,14.0,GSW,University of Texas at El Paso,13.0,867.0,30626.0,15373.0,2855.0,7095.0,0.431,0.355,0.782,35.3,17.7,3.3,8.2,85.0,0.133,2.5,34.6,Don Nelson,2601 days 00:00:00.000000000
175,Tim Hardaway,5.0,5.0,2013.0,24.0,NYK,University of Michigan,3.0,202.0,4420.0,1954.0,363.0,244.0,0.412,0.35,0.826,21.9,9.7,1.8,1.2,5.8,0.063,-2.9,-1.0,Glen Grunwald,819 days 00:00:00.000000000
176,Mitch Richmond,5.0,6.0,1988.0,5.0,GSW,Kansas State University,14.0,976.0,34309.0,20497.0,3801.0,3398.0,0.455,0.388,0.85,35.2,21.0,3.9,3.5,79.3,0.111,0.9,25.0,Don Nelson,2601 days 00:00:00.000000000
177,Keith Smart,0.0,0.0,1988.0,41.0,GSW,Indiana University,1.0,2.0,12.0,2.0,1.0,2.0,0.0,0.0,1.0,6.0,1.0,0.5,1.0,0.0,-0.175,-14.5,0.0,Don Nelson,2601 days 00:00:00.000000000
178,Chris Webber,5.0,5.0,1993.0,1.0,ORL,University of Michigan,15.0,831.0,30847.0,17182.0,8124.0,3526.0,0.479,0.299,0.649,37.1,20.7,9.8,4.2,84.7,0.132,3.9,45.9,Pat Williams,3406 days 00:00:00.000000000
179,Geert Hammink,0.0,0.0,1993.0,26.0,ORL,Louisiana State University,3.0,8.0,27.0,14.0,7.0,2.0,0.4,0.0,0.667,3.4,1.8,0.9,0.3,0.1,0.089,-8.4,0.0,Pat Williams,3406 days 00:00:00.000000000
180,Russell Westbrook,5.0,5.0,2008.0,4.0,OKC,"University of California, Los Angeles",8.0,587.0,19984.0,12598.0,3285.0,4453.0,0.435,0.302,0.818,34.0,21.5,5.6,7.6,67.0,0.161,5.2,36.1,Sam Presti,3403 days 00:00:00.000000000
181,Serge Ibaka,0.0,0.0,2008.0,24.0,OKC,0,7.0,524.0,15099.0,6054.0,3875.0,309.0,0.523,0.355,0.745,28.8,11.6,7.4,0.6,47.6,0.151,0.9,11.1,Sam Presti,3403 days 00:00:00.000000000
182,Walter Sharpe,0.0,0.0,2008.0,32.0,OKC,University of Alabama at Birmingham,1.0,8.0,20.0,8.0,3.0,0.0,0.364,0.0,0.0,2.5,1.0,0.4,0.0,-0.1,-0.131,-16.5,-0.1,Sam Presti,3403 days 00:00:00.000000000
183,Trent Plaisted,0.0,0.0,2008.0,46.0,OKC,Brigham Young University Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sam Presti,3403 days 00:00:00.000000000
184,DeVon Hardin,0.0,0.0,2008.0,50.0,OKC,University of California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sam Presti,3403 days 00:00:00.000000000
185,Sasha Kaun,0.0,0.0,2008.0,56.0,OKC,University of Kansas,1.0,25.0,95.0,23.0,26.0,3.0,0.529,0.0,0.455,3.8,0.9,1.0,0.1,0.2,0.096,-0.8,0.0,Sam Presti,3403 days 00:00:00.000000000
186,Amar'e Stoudemire,5.0,6.0,2002.0,9.0,PHO,0,14.0,846.0,26254.0,15994.0,6632.0,1050.0,0.537,0.236,0.761,31.0,18.9,7.8,1.2,92.5,0.169,0.5,16.8,Bryan Colangelo,4387 days 00:00:00.000000000
187,Casey Jacobsen,0.0,0.0,2002.0,22.0,PHO,Stanford University,4.0,287.0,5320.0,1488.0,516.0,304.0,0.393,0.352,0.769,18.5,5.2,1.8,1.1,6.2,0.056,-2.3,-0.4,Bryan Colangelo,4387 days 00:00:00.000000000
188,Kevin Johnson,5.0,3.0,1987.0,7.0,CLE,University of California,12.0,735.0,25061.0,13127.0,2404.0,6711.0,0.493,0.305,0.841,34.1,17.9,3.3,9.1,92.8,0.178,2.4,28.0,Wayne Embry,4730 days 00:00:00.000000000
189,Kannard Johnson,0.0,0.0,1987.0,41.0,CLE,Western Kentucky University,1.0,4.0,12.0,2.0,0.0,0.0,0.333,0.0,0.0,3.0,0.5,0.0,0.0,-0.1,-0.238,-12.2,0.0,Wayne Embry,4730 days 00:00:00.000000000
190,Donald Royal,0.0,0.0,1987.0,52.0,CLE,University of Notre Dame,8.0,504.0,8442.0,3161.0,1431.0,500.0,0.473,0.0,0.77,16.8,6.3,2.8,1.0,19.1,0.109,-1.7,0.7,Wayne Embry,4730 days 00:00:00.000000000
191,Chris Dudley,0.0,0.0,1987.0,75.0,CLE,Yale University,16.0,886.0,16321.0,3473.0,5457.0,375.0,0.412,0.0,0.458,18.4,3.9,6.2,0.4,26.2,0.077,-1.9,0.6,Wayne Embry,4730 days 00:00:00.000000000
192,Carven Holcomb,0.0,0.0,1987.0,80.0,CLE,Texas Christian University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wayne Embry,4730 days 00:00:00.000000000
193,Carl Lott,0.0,0.0,1987.0,98.0,CLE,Texas Christian University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wayne Embry,4730 days 00:00:00.000000000
