,Player,All_NBA,All-Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP,Executive,Tenure,attend_college,Exec_id,Exec_draft_exp
634,Bob Carrington,0,0,1976,28,ATL,Boston College,2,82,1787,672,187,120,0.428,0,0.76,21.8,8.2,2.3,1.5,1.3,0.036,-3.1,-0.5,Bud Seretean,560 days 00:00:00.000000000,1,72,2
635,Larry Cooke,0,0,1976,46,ATL,Virginia Polytechnic Institute and State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bud Seretean,560 days 00:00:00.000000000,1,72,2
636,Tom Barker,0,0,1976,53,ATL,University of Hawaii,2,98,1830,639,520,75,0.422,0,0.692,18.7,6.5,5.3,0.8,1.3,0.034,-3.8,-0.9,Bud Seretean,560 days 00:00:00.000000000,1,72,2
637,Ron Davis,0,0,1976,70,ATL,Washington State University,3,78,951,417,139,53,0.42,0.25,0.571,12.2,5.3,1.8,0.7,0.1,0.007,-5,-0.7,Bud Seretean,560 days 00:00:00.000000000,1,72,2
638,Connie White,0,0,1976,82,ATL,University of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bud Seretean,560 days 00:00:00.000000000,1,72,2
639,Pete Padgett,0,0,1976,88,ATL,"University of Nevada, Reno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bud Seretean,560 days 00:00:00.000000000,1,72,2
640,Carl Gerlach,0,0,1976,106,ATL,Kansas State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bud Seretean,560 days 00:00:00.000000000,1,72,2
641,Doug Terry,0,0,1976,124,ATL,University of Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bud Seretean,560 days 00:00:00.000000000,1,72,2
642,Bob Kovach,0,0,1976,142,ATL,San Diego State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bud Seretean,560 days 00:00:00.000000000,1,72,2
643,Mike Dickerson,0,0,1976,159,ATL,University of South Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bud Seretean,560 days 00:00:00.000000000,1,72,2
814,Tom LaGarde,0,0,1977,9,DEN,University of North Carolina,6,312,6194,2376,1593,456,0.462,0,0.64,19.9,7.6,5.1,1.5,6.5,0.05,-2.4,-0.6,Carl Scheer,3626 days 00:00:00.000000000,1,81,3
815,Anthony Roberts,0,0,1977,21,DEN,Oral Roberts University,5,213,3867,1658,837,265,0.412,0,0.699,18.2,7.8,3.9,1.2,3.3,0.041,-4.3,-2.2,Carl Scheer,3626 days 00:00:00.000000000,1,81,3
816,Robert Smith,0,0,1977,65,DEN,"University of Nevada, Las Vegas",7,229,3118,1135,288,401,0.435,0.238,0.877,13.6,5,1.3,1.8,5.6,0.086,-3.2,-1,Carl Scheer,3626 days 00:00:00.000000000,1,81,3
817,John Billups,0,0,1977,109,DEN,University of Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,3
818,Jim Town,0,0,1977,130,DEN,University of Massachusetts Amherst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,3
819,Willie High,0,0,1977,150,DEN,Alabama State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,3
820,Len Saunders,0,0,1977,169,DEN,University of Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,3
935,Larry Williams,0,0,1979,102,DEN,University of Louisville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,5
936,Gary Garland,0,0,1979,30,DEN,DePaul University,1,78,1106,334,138,145,0.435,0.316,0.692,14.2,4.3,1.8,1.9,0.5,0.02,-3.5,-0.4,Carl Scheer,3626 days 00:00:00.000000000,1,81,5
937,Odell Ball,0,0,1979,122,DEN,Marquette University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,5
938,John Johnson,0,0,1979,144,DEN,Creighton University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,5
939,Matt Teahan,0,0,1979,162,DEN,University of Denver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,5
940,Emmett Lewis,0,0,1979,179,DEN,University of Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,5
1049,Rod Griffin,0,0,1978,17,DEN,Wake Forest University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,4
1050,Mike Evans,0,0,1978,21,DEN,Kansas State University,9,591,9858,4531,808,1514,0.452,0.307,0.807,16.7,7.7,1.4,2.6,9.3,0.045,-3.5,-3.7,Carl Scheer,3626 days 00:00:00.000000000,1,81,4
1051,Hollis Copeland,0,0,1978,46,DEN,Rutgers University,2,93,1260,464,161,89,0.488,0,0.739,13.5,5,1.7,1,1.3,0.05,-2.5,-0.1,Carl Scheer,3626 days 00:00:00.000000000,1,81,4
1052,Michael Edwards,0,0,1978,106,DEN,University of Texas-Pan American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,4
1053,Robert Heard,0,0,1978,127,DEN,Columbus State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,4
1054,Jack Gilloon,0,0,1978,148,DEN,University of South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,4
1055,Larry Vaculik,0,0,1978,166,DEN,University of Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,4
1056,Tom Schneeburger,0,0,1978,183,DEN,United States Air Force Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,4
1057,Phil Taylor,0,0,1978,198,DEN,University of Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,4
1107,Mike Phillips,0,0,1982,220,DEN,Niagara University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,8
1108,Rob Williams,0,0,1982,19,DEN,University of Houston,2,153,3367,1319,330,825,0.439,0.274,0.789,22,8.6,2.2,5.4,2.1,0.03,-3.4,-1.2,Carl Scheer,3626 days 00:00:00.000000000,1,81,8
1109,Roylin Bond,0,0,1982,62,DEN,Pepperdine University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,8
1110,Alford Turner,0,0,1982,84,DEN,University of Louisiana at Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,8
1111,Bill Duffy,0,0,1982,109,DEN,Santa Clara University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,8
1112,Chris Brust,0,0,1982,131,DEN,University of North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,8
1113,Jeb Barlow,0,0,1982,153,DEN,University of North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,8
1114,Donny Speer,0,0,1982,178,DEN,University of Alabama at Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,8
1115,Dean Sears,0,0,1982,200,DEN,"University of California, Los Angeles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,8
1417,James Ray,0,0,1980,5,DEN,Jacksonville University,3,103,843,334,228,76,0.428,0.333,0.629,8.2,3.2,2.2,0.7,-0.3,-0.017,-4.2,-0.5,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1418,Carl Nicks,0,0,1980,23,DEN,Indiana State University,3,156,2579,1067,297,249,0.462,0,0.57,16.5,6.8,1.9,1.6,-0.4,-0.007,-4.5,-1.6,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1419,Jawann Oldham,0,0,1980,41,DEN,Seattle University,10,329,5241,1455,1353,162,0.479,0,0.607,15.9,4.4,4.1,0.5,4.3,0.039,-1.9,0.2,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1420,Kurt Nimphius,0,0,1980,47,DEN,Arizona State University,8,564,11441,3602,2474,681,0.487,0.1,0.668,20.3,6.4,4.4,1.2,17.5,0.074,-0.7,3.7,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1421,Eddie Lee,0,0,1980,48,DEN,University of Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1422,Ronnie Valentine,0,0,1980,51,DEN,Old Dominion University,1,24,123,84,30,7,0.378,0.5,0.474,5.1,3.5,1.3,0.3,-0.3,-0.128,-10.4,-0.3,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1423,Sammie Ellis,0,0,1980,73,DEN,University of Pittsburgh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1424,James Patrick,0,0,1980,97,DEN,Texas State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1425,Ernie Hill,0,0,1980,119,DEN,Oklahoma City University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1426,Tommy Springer,0,0,1980,143,DEN,Vanderbilt University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1427,Jim Graziano,0,0,1980,184,DEN,University of South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1428,Earl Sango,0,0,1980,202,DEN,Regis University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,6
1675,Ken Green,0,0,1981,34,DEN,University of Texas-Pan American,1,7,72,31,27,2,0.481,0,0.556,10.3,4.4,3.9,0.3,0.3,0.184,-0.5,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,7
1676,Willie Sims,0,0,1981,101,DEN,Louisiana State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,7
1677,Alonzo Weatherley,0,0,1981,124,DEN,University of Denver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,7
1678,Greg Manning,0,0,1981,147,DEN,University of Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,7
1679,Curtis Redding,0,0,1981,169,DEN,St. John's University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,7
1680,Andrew Burton,0,0,1981,191,DEN,Austin Peay State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,7
1681,Derrick Rowland,0,0,1981,211,DEN,State University of New York at Potsdam,1,2,9,3,1,1,0.333,0,0.5,4.5,1.5,0.5,0.5,0,0.048,-7.6,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,7
1955,Howard Carter,0,0,1983,15,DEN,Louisiana State University,2,66,754,351,89,75,0.44,0.227,0.774,11.4,5.3,1.3,1.1,0,-0.002,-5.6,-0.7,Carl Scheer,3626 days 00:00:00.000000000,1,81,9
1956,David Russell,0,0,1983,37,DEN,St. John's University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,9
1957,David Little,0,0,1983,61,DEN,University of Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,9
1958,York Gross,0,0,1983,83,DEN,"University of California, Santa Barbara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,9
1959,James Braddock,0,0,1983,107,DEN,University of North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,9
1960,Glenn Green,0,0,1983,129,DEN,Murray State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,9
1961,Maurice McDaniel,0,0,1983,153,DEN,Cawtaba College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,9
1962,Cliff Tribus,0,0,1983,175,DEN,Davidson College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,9
1963,Bobby Van Noy,0,0,1983,198,DEN,Cawtaba College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,9
1964,Cleveland McCrae,0,0,1983,218,DEN,Cawtaba College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,3626 days 00:00:00.000000000,1,81,9
2234,Benoit Benjamin,0,0,1985,3,LAC,Creighton University,15,807,21911,9223,6063,1070,0.497,0.048,0.721,27.2,11.4,7.5,1.3,32.7,0.072,-1.3,4,Carl Scheer,636 days 00:00:00.000000000,1,81,1
2235,Anicet Lavodrama,0,0,1985,52,LAC,Houston Baptist University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,636 days 00:00:00.000000000,1,81,1
2236,Jim Deines,0,0,1985,74,LAC,Arizona State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,636 days 00:00:00.000000000,1,81,1
2237,Wayne Carlander,0,0,1985,99,LAC,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,636 days 00:00:00.000000000,1,81,1
2238,Malcolm Thomas,0,0,1985,121,LAC,University of Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,636 days 00:00:00.000000000,1,81,1
2239,Gary Maloncon,0,0,1985,143,LAC,"University of California, Los Angeles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,636 days 00:00:00.000000000,1,81,1
2605,Rex Chapman,0,0,1988,8,NOH,University of Kentucky,12,666,19542,9731,1645,1798,0.43,0.35,0.8,29.3,14.6,2.5,2.7,24.7,0.061,-1.5,2.2,Carl Scheer,1180 days 00:00:00.000000000,1,81,13
2606,Tom Tolbert,0,0,1988,34,NOH,University of Arizona,7,312,5680,2030,1251,285,0.46,0.296,0.716,18.2,6.5,4,0.9,6.6,0.056,-2.8,-1.2,Carl Scheer,1180 days 00:00:00.000000000,1,81,13
2607,Jeff Moore,0,0,1988,58,NOH,Auburn University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carl Scheer,1180 days 00:00:00.000000000,1,81,13
2657,J.R. Reid,0,0,1989,5,NOH,University of North Carolina,11,672,15370,5680,3381,639,0.472,0.135,0.716,22.9,8.5,5,1,22.5,0.07,-2,-0.2,Carl Scheer,1180 days 00:00:00.000000000,1,81,14
2658,Dyron Nix,0,0,1989,29,NOH,University of Tennessee,1,20,109,39,26,5,0.359,0,0.688,5.5,2,1.3,0.3,0,-0.015,-8.3,-0.2,Carl Scheer,1180 days 00:00:00.000000000,1,81,14
161,Yao Ming,5,8,2002,1,HOU,0,8,486,15818,9247,4494,769,0.524,0.2,0.833,32.5,19,9.2,1.6,65.9,0.2,2.3,17,Carroll Dawson,3901 days 00:00:00.000000000,0,27,25
162,Bostjan Nachbar,0,0,2002,15,HOU,0,6,317,5628,2252,836,283,0.406,0.375,0.784,17.8,7.1,2.6,0.9,8.7,0.074,-2.3,-0.4,Carroll Dawson,3901 days 00:00:00.000000000,0,27,25
163,Tito Maddox,0,0,2002,37,HOU,"California State University, Fresno",1,9,35,11,7,5,0.25,0,0.625,3.9,1.2,0.8,0.6,0,-0.011,-2.2,0,Carroll Dawson,3901 days 00:00:00.000000000,1,27,25
3055,Rodrick Rhodes,0,0,1997,24,HOU,University of Southern California,3,72,1234,380,88,121,0.347,0.2,0.62,17.1,5.3,1.2,1.7,-1.6,-0.064,-6.6,-1.4,Carroll Dawson,3901 days 00:00:00.000000000,1,27,12
3056,Serge Zwikker,0,0,1997,29,HOU,University of North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carroll Dawson,3901 days 00:00:00.000000000,1,27,12
3090,Michael Dickerson,0,0,1998,14,HOU,University of Arizona,5,212,7490,3257,609,553,0.432,0.402,0.784,35.3,15.4,2.9,2.6,9.6,0.061,-1.2,1.6,Carroll Dawson,3901 days 00:00:00.000000000,1,27,26
3091,Bryce Drew,0,0,1998,16,HOU,Valparaiso University,6,243,3970,1081,295,524,0.382,0.371,0.83,16.3,4.4,1.2,2.2,2.4,0.03,-4.6,-2.6,Carroll Dawson,3901 days 00:00:00.000000000,1,27,26
3092,Mirsad Turkcan,0,0,1998,18,HOU,0,1,17,90,33,33,5,0.368,0,0.625,5.3,1.9,1.9,0.3,0,-0.019,-6,-0.1,Carroll Dawson,3901 days 00:00:00.000000000,0,27,26
3093,Cuttino Mobley,0,0,1998,41,HOU,University of Rhode Island,11,747,27618,11964,2902,2015,0.433,0.378,0.835,37,16,3.9,2.7,52.2,0.091,0.2,15.3,Carroll Dawson,3901 days 00:00:00.000000000,1,27,26
3152,Kenny Thomas,0,0,1999,22,HOU,University of New Mexico,11,632,17306,5876,4341,975,0.465,0.244,0.699,27.4,9.3,6.9,1.5,31.2,0.086,-0.5,6.6,Carroll Dawson,3901 days 00:00:00.000000000,1,27,27
3153,Tyrone Washington,0,0,1999,44,HOU,Mississippi State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carroll Dawson,3901 days 00:00:00.000000000,1,27,27
3154,Venson Hamilton,0,0,1999,50,HOU,University of Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carroll Dawson,3901 days 00:00:00.000000000,1,27,27
3189,Joel Przybilla,0,0,2000,9,HOU,University of Minnesota,13,592,11733,2293,3665,256,0.552,0,0.557,19.8,3.9,6.2,0.4,23,0.094,-0.9,3.3,Carroll Dawson,3901 days 00:00:00.000000000,1,27,28
3190,Eduardo Najera,0,0,2000,38,HOU,University of Oklahoma,12,619,11213,3052,2307,493,0.481,0.311,0.671,18.1,4.9,3.7,0.8,24.7,0.106,0.3,6.4,Carroll Dawson,3901 days 00:00:00.000000000,1,27,28
3242,Richard Jefferson,0,0,2001,13,HOU,University of Arizona,15,1082,32516,14426,4500,2319,0.464,0.38,0.769,30.1,13.3,4.2,2.1,80.8,0.119,0.4,20.1,Carroll Dawson,3901 days 00:00:00.000000000,1,27,29
3243,Jason Collins,0,0,2001,18,HOU,Stanford University,13,735,14974,2621,2706,626,0.411,0.206,0.647,20.4,3.6,3.7,0.9,20.1,0.064,-2,0.2,Carroll Dawson,3901 days 00:00:00.000000000,1,27,29
3244,Brandon Armstrong,0,0,2001,23,HOU,Pepperdine University,3,108,699,239,63,24,0.352,0.333,0.6,6.5,2.2,0.6,0.2,-0.6,-0.039,-8.6,-1.2,Carroll Dawson,3901 days 00:00:00.000000000,1,27,29
3359,Malick Badiane,0,0,2003,44,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carroll Dawson,3901 days 00:00:00.000000000,0,27,30
3416,Luis Flores,0,0,2004,55,HOU,Manhattan College,1,16,77,35,3,11,0.483,0.5,1,4.8,2.2,0.2,0.7,0,-0.02,-9.6,-0.1,Carroll Dawson,3901 days 00:00:00.000000000,1,27,18
3456,Luther Head,0,0,2005,24,HOU,University of Illinois at Urbana-Champaign,6,348,7797,2842,845,747,0.423,0.388,0.773,22.4,8.2,2.4,2.1,14.7,0.09,-0.4,3.2,Carroll Dawson,3901 days 00:00:00.000000000,1,27,16
3478,Rudy Gay,0,0,2006,8,HOU,University of Connecticut,10,723,25802,13298,4262,1627,0.452,0.344,0.793,35.7,18.4,5.9,2.3,45.5,0.085,0.5,16.1,Carroll Dawson,3901 days 00:00:00.000000000,1,27,24
3479,Steve Novak,0,0,2006,32,HOU,Marquette University,10,459,5635,2172,588,132,0.438,0.431,0.877,12.3,4.7,1.3,0.3,14.5,0.124,-0.9,1.6,Carroll Dawson,3901 days 00:00:00.000000000,1,27,24
3745,Nolan Smith,0,0,2011,21,POR,Duke University,2,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,-6.5,-0.9,Chad Buchanan,378 days 00:00:00.000000000,1,149,32
3746,Jon Diebler,0,0,2011,51,POR,Ohio State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chad Buchanan,378 days 00:00:00.000000000,1,149,32
1028,Winford Boynes,0,0,1978,13,NJN,University of San Francisco,3,177,3035,1478,363,207,0.435,0,0.783,17.1,8.4,2.1,1.2,0.9,0.014,-4.9,-2.2,Charles Theokas,1100 days 00:00:00.000000000,1,89,4
1029,Mike Phillips,0,0,1978,45,NJN,University of Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,4
1030,Dave Batton,0,0,1978,62,NJN,University of Notre Dame,2,58,589,188,123,32,0.448,0,0.471,10.2,3.2,2.1,0.6,0.7,0.055,-3,-0.2,Charles Theokas,1100 days 00:00:00.000000000,1,89,4
1031,Walter Jordan,0,0,1978,84,NJN,Purdue University,1,30,207,68,42,11,0.387,0,0.588,6.9,2.3,1.4,0.4,-0.1,-0.021,-4.5,-0.1,Charles Theokas,1100 days 00:00:00.000000000,1,89,4
1032,Cecile Rose,0,0,1978,89,NJN,University of Houston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,4
1033,Golie Augustus,0,0,1978,111,NJN,University of South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,4
1034,Doug Jemison,0,0,1978,132,NJN,University of San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,4
1035,Bruce Campbell,0,0,1978,153,NJN,Providence College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,4
1036,Frank Sowinski,0,0,1978,171,NJN,Princeton University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,4
1037,Michael Vicens,0,0,1978,187,NJN,College of the Holy Cross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,4
1147,Tony Smith,0,0,1979,115,NJN,"University of Nevada, Las Vegas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,5
1148,Calvin Natt,0,0,1979,8,NJN,University of Louisiana at Monroe,11,599,18818,10291,4070,1306,0.528,0.219,0.768,31.4,17.2,6.8,2.2,57.2,0.146,1.2,15.1,Charles Theokas,1100 days 00:00:00.000000000,1,89,5
1149,Cliff Robinson,0,0,1979,11,NJN,University of Southern California,11,629,19284,10823,5237,1249,0.468,0.184,0.722,30.7,17.2,8.3,2,30.5,0.076,-1.1,4.3,Charles Theokas,1100 days 00:00:00.000000000,1,89,5
1150,John Gerdy,0,0,1979,51,NJN,Davidson College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,5
1151,Jim Abromaitis,0,0,1979,95,NJN,University of Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,5
1153,Henry Hollingsworth,0,0,1979,154,NJN,Hofstra University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,5
1154,Ricky Free,0,0,1979,173,NJN,Columbia University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,5
1155,Eric Fleisher,0,0,1979,191,NJN,Tulane University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,5
1346,Mike O'Koren,0,0,1980,6,NJN,University of North Carolina,8,407,8810,3355,1391,856,0.49,0.271,0.651,21.6,8.2,3.4,2.1,14.6,0.08,-0.5,3.2,Charles Theokas,1100 days 00:00:00.000000000,1,89,6
1347,Mike Gminski,0,0,1980,7,NJN,Duke University,14,938,24058,10953,6480,1203,0.465,0.122,0.843,25.6,11.7,6.9,1.3,55.9,0.111,-0.6,8.7,Charles Theokas,1100 days 00:00:00.000000000,1,89,6
1348,Lowes Moore,0,0,1980,52,NJN,West Virginia University,3,112,2118,752,227,316,0.442,0.2,0.75,18.9,6.7,2,2.8,1.5,0.035,-3.2,-0.6,Charles Theokas,1100 days 00:00:00.000000000,1,89,6
1349,Rory Sparrow,0,0,1980,75,NJN,Villanova University,12,836,22550,7557,1755,4192,0.466,0.26,0.797,27,9,2.1,5,28.3,0.06,-2.3,-1.6,Charles Theokas,1100 days 00:00:00.000000000,1,89,6
1350,Aaron Curry,0,0,1980,98,NJN,University of Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,6
1351,Rick Mattick,0,0,1980,121,NJN,Louisiana State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,6
1352,Lloyd Terry,0,0,1980,165,NJN,University of New Orleans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,6
1353,Barry Young,0,0,1980,185,NJN,Colorado State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charles Theokas,1100 days 00:00:00.000000000,1,89,6
495,Kyrie Irving,1,3,2011,1,CLE,Duke University,5,309,10499,6416,1060,1696,0.452,0.378,0.865,34,20.8,3.4,5.5,31.4,0.144,3,13.3,Chris Grant,1343 days 00:00:00.000000000,1,61,32
